Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 03/23  20:00:00,128.532051693,6.44637968467,0.815354614058,0.0,80.527626,29.818365,30.8447254409,21.869946596,3.20568,5.76909884492
 03/23  21:00:00,55.7002669007,0.0,0.0,0.0,15.863942322,29.242365,8.97454863596,0.0,3.20568,5.76886863596
 03/23  22:00:00,55.5727893264,0.0,0.0,0.0,15.863942322,29.242365,6.09392188501,0.0,3.20568,2.88824188501
 03/23  23:00:00,56.3107865503,0.0,0.0,0.0,15.863942322,29.242365,6.09188906266,0.0,3.20568,2.88620906266
 03/23  24:00:00,55.6044366954,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 03/24  01:00:00,55.6005225725,0.0,0.0,0.0,15.863942322,29.242365,6.08930279851,0.0,3.20568,2.88362279851
 03/24  02:00:00,55.5858987604,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 03/24  03:00:00,55.5690887059,0.0,0.0,0.0,15.863942322,29.242365,6.08936699673,0.0,3.20568,2.88368699673
 03/24  04:00:00,56.6695005075,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 03/24  05:00:00,56.5115583135,0.0,0.0,0.0,15.863942322,29.242365,6.08943115379,0.0,3.20568,2.88375115379
 03/24  06:00:00,61.7039354462,6.44637968467,0.0,0.0,15.863942322,29.818365,76.6838504815,73.4581704815,3.20568,0.02
 03/24  07:00:00,118.973917185,6.44637968467,0.0,0.0,80.527626,29.818365,62.7382995173,56.6456946815,3.20568,2.88692483581
 03/24  08:00:00,164.301668853,6.4613465377,0.00528240651025,0.0,80.527626,75.0917375,67.4458239804,34.7349168211,24.0426,8.66830715936
 03/24  09:00:00,166.804744675,6.66837350396,2.24822822276,0.0,80.527626,75.0917375,56.7442885118,18.1849168221,24.0426,14.5167716896
 03/24  10:00:00,176.861401095,7.3676805631,7.56214514405,0.0,80.527626,79.0911225,57.4552177597,7.96820071689,32.0568,17.4302170428
 03/24  11:00:00,181.599478121,8.28078740171,10.6458701665,0.0,80.527626,79.0911225,49.5204786083,0.0,32.0568,17.4636786083
 03/24  12:00:00,182.926403601,9.21001950731,11.7461357509,0.0,80.527626,79.0911225,52.4660053296,0.0,32.0568,20.4092053296
 03/24  13:00:00,181.912598995,10.327041044,13.6000440849,0.0,80.527626,75.0917375,37.093505584,0.637704383748,16.0284,20.4274012002
 03/24  14:00:00,183.487018538,11.2732875147,14.2380589362,0.0,80.527626,75.0917375,32.4803382041,1.93030176431,16.0284,14.5216364398
 03/24  15:00:00,182.981106585,11.9621767563,15.0651104511,0.0,80.527626,73.092045,22.6494392061,4.91069478211,3.20568,14.533064424
 03/24  16:00:00,173.889999204,8.30638793142,9.76006194199,0.0,80.527626,73.092045,14.1132306284,8.0206126817,3.20568,2.88693794674
 03/24  17:00:00,127.240575368,6.78298937786,7.90957898905,0.0,80.527626,29.818365,13.4507387804,7.35826915627,3.20568,2.88678962409
 03/24  18:00:00,127.797286805,6.59010684186,8.64854031445,0.0,80.527626,29.818365,13.2569029882,4.28578454679,3.20568,5.76543844143
 03/24  19:00:00,133.83579835,6.45569116176,6.27495078561,0.0,80.527626,29.818365,17.8216939956,8.84304833506,3.20568,5.77296566049
 03/24  20:00:00,131.170270015,6.44637968467,3.64697066079,0.0,80.527626,29.818365,24.1244271127,15.1493227205,3.20568,5.7694243922
 03/24  21:00:00,55.5437994725,0.0,0.0,0.0,15.863942322,29.242365,8.97486313659,0.0,3.20568,5.76918313659
 03/24  22:00:00,55.5815344355,0.0,0.0,0.0,15.863942322,29.242365,6.09408256764,0.0,3.20568,2.88840256764
 03/24  23:00:00,56.3344821195,0.0,0.0,0.0,15.863942322,29.242365,6.09204860942,0.0,3.20568,2.88636860942
 03/24  24:00:00,55.6328805706,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 03/25  01:00:00,55.6301474218,0.0,0.0,0.0,15.863942322,29.242365,6.08807784368,0.0,3.20568,2.88239784368
 03/25  02:00:00,55.6153614772,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 03/25  03:00:00,55.5829047892,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 03/25  04:00:00,55.7622331847,0.0,0.0,0.0,15.863942322,29.242365,6.08802128078,0.0,3.20568,2.88234128078
 03/25  05:00:00,55.7409761614,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
