Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/13  05:00:00,924.571827636,95.8810769212,457.087630757,0.0,100.150657288,149.894399434,562.576180749,531.045777645,14.1616749024,17.3687282019
 07/13  06:00:00,1122.21731273,100.92275591,430.528384805,0.0,176.471037341,302.612436532,428.592508644,391.577209066,28.3233498048,8.69194977283
 07/13  07:00:00,1226.21926424,104.968463598,405.306726245,0.0,243.2593065,310.10971186,402.801784742,342.813459764,42.4850247072,17.5033002713
 07/13  08:00:00,1253.03436436,106.575496306,390.461809127,0.0,243.2593065,310.10971186,394.294446417,311.294175145,56.6466996096,26.3535716628
 07/13  09:00:00,1272.22088221,107.965822669,376.757120511,0.0,243.2593065,302.612436532,344.576683858,275.657517669,42.4850247072,26.4341414822
 07/13  10:00:00,1286.66595554,109.472572237,381.22467455,0.0,243.2593065,310.10971186,362.512971682,256.299105201,70.808374512,35.4054919696
 07/13  11:00:00,1292.09174862,112.11465753,382.13392275,0.0,243.2593065,310.10971186,343.258078274,236.994868319,70.808374512,35.454835443
 07/13  12:00:00,1249.24549804,112.54623542,381.308667872,0.0,243.2593065,310.10971186,346.577039956,249.283599485,70.808374512,26.4850659592
 07/13  13:00:00,1281.44935159,113.953563061,378.931023141,0.0,243.2593065,302.612436532,331.373714187,239.268573692,56.6466996096,35.4584408853
 07/13  14:00:00,1282.06344832,115.869864193,378.101187043,0.0,243.2593065,302.612436532,314.825174181,237.606333849,42.4850247072,34.7338156256
 07/13  15:00:00,1284.16885117,117.701205551,378.132264216,0.0,243.2593065,302.612436532,312.408052866,228.581411731,56.6466996096,27.1799415246
 07/13  16:00:00,1293.22633547,119.182722389,378.165569475,0.0,243.2593065,310.10971186,342.108706687,230.735630895,84.9700494144,26.4030263769
 07/13  17:00:00,1297.12818546,120.942197897,379.373456289,0.0,243.2593065,310.10971186,319.397742013,216.968444944,84.9700494144,17.4592476547
 07/13  18:00:00,999.145238698,94.7147699866,376.945145047,0.0,166.938926447,199.110933808,338.022785566,235.64643463,84.9700494144,17.406301522
 07/13  19:00:00,1007.73829805,94.7147699866,390.820467245,0.0,166.938926447,191.61365848,345.861483387,280.500891252,56.6466996096,8.71389252482
 07/13  20:00:00,907.732747742,94.7147699866,406.965685709,0.0,100.150657288,124.558693486,419.591633779,345.536657506,56.6466996096,17.4082766643
 07/13  21:00:00,871.381779773,94.7147699866,410.151372202,0.0,100.150657288,124.558693486,406.892121268,355.710187038,42.4850247072,8.69690952226
 07/13  22:00:00,801.219145575,94.7147699866,407.896592029,0.0,46.0930336215,124.558693486,410.944527186,373.926461949,28.3233498048,8.69471543203
 07/13  23:00:00,801.518069884,94.7147699866,407.389700878,0.0,46.0930336215,124.558693486,412.62566989,381.094442939,14.1616749024,17.3695520482
 07/13  24:00:00,788.741863247,94.7147699866,406.50873162,0.0,46.0930336215,113.312780494,401.18531454,386.825800013,5.66466996096,8.69484456607
 07/14  01:00:00,783.656826931,94.7147699866,402.488206098,0.0,46.0930336215,113.312780494,399.775117498,385.41558594,5.66466996096,8.69486159768
 07/14  02:00:00,779.911372031,94.7147699866,399.121372275,0.0,46.0930336215,113.312780494,409.240880447,386.206395173,5.66466996096,17.3698153125
 07/14  03:00:00,781.374288661,94.7147699866,400.552317902,0.0,46.0930336215,113.312780494,408.372036242,394.013658166,5.66466996096,8.69370811517
 07/14  04:00:00,886.740714801,94.7147699866,411.317885759,0.0,100.150657288,148.969399434,411.15693129,388.127687883,5.66466996096,17.3645734452
 07/14  05:00:00,887.594088597,96.1936345308,413.483144562,0.0,100.150657288,149.894399434,532.187841948,509.333399487,14.1616749024,8.6927675589
 07/14  06:00:00,1096.51203247,101.539215422,401.215200108,0.0,176.471037341,302.612436532,408.491906483,371.475744977,28.3233498048,8.69281170176
 07/14  07:00:00,1201.97114596,105.759821996,382.19427569,0.0,243.2593065,310.10971186,371.938142406,311.949703791,42.4850247072,17.5034139086
 07/14  08:00:00,1240.44031305,107.48272357,378.431120533,0.0,243.2593065,310.10971186,351.020657889,268.022278913,56.6466996096,26.3516793664
 07/14  09:00:00,1276.61115409,108.898966402,380.291056102,0.0,243.2593065,302.612436532,315.800607681,246.886108558,42.4850247072,26.4294744161
 07/14  10:00:00,1288.78148599,110.234949146,382.261575766,0.0,243.2593065,310.10971186,335.78431033,229.570542913,70.808374512,35.4053929053
 07/14  11:00:00,1293.36447154,111.655615906,384.236866212,0.0,243.2593065,310.10971186,334.878835068,228.615808333,70.808374512,35.4546522231
 07/14  12:00:00,1254.62505448,113.282063252,385.106275282,0.0,243.2593065,310.10971186,321.144454974,223.85108006,70.808374512,26.4850004022
 07/14  13:00:00,1292.86350643,115.669611427,386.788687278,0.0,243.2593065,302.612436532,302.470702047,210.365823095,56.6466996096,35.4581793427
 07/14  14:00:00,1295.67948915,118.154612257,386.797286252,0.0,243.2593065,302.612436532,278.210443547,200.329688611,42.4850247072,35.3957302295
 07/14  15:00:00,1294.21661267,119.33798225,384.66743182,0.0,243.2593065,302.612436532,283.970178592,200.804797223,56.6466996096,26.5186817588
 07/14  16:00:00,1299.22129478,120.301319414,382.48035396,0.0,243.2593065,310.10971186,313.094020964,201.721136599,84.9700494144,26.4028349513
 07/14  17:00:00,1312.87397119,129.605331579,384.850288645,0.0,243.2593065,310.10971186,272.936385994,170.507163904,84.9700494144,17.4591726758
 07/14  18:00:00,1018.37361165,94.7147699866,390.402380136,0.0,166.938926447,199.110933808,269.681503579,167.305220137,84.9700494144,17.4062340276
 07/14  19:00:00,997.007320544,94.7147699866,380.763151168,0.0,166.938926447,191.61365848,282.553712455,217.193155987,56.6466996096,8.71385685809
 07/14  20:00:00,883.731191332,94.7147699866,386.61456838,0.0,100.150657288,124.558693486,399.429461364,325.374566494,56.6466996096,17.4081952604
 07/14  21:00:00,879.398941963,94.7147699866,418.913819402,0.0,100.150657288,124.558693486,412.261321235,361.079424428,42.4850247072,8.69687209989
 07/14  22:00:00,820.289702147,94.7147699866,426.904110857,0.0,46.0930336215,124.558693486,418.921996269,381.903970535,28.3233498048,8.69467592908
 07/14  23:00:00,820.893399005,94.7147699866,426.674551882,0.0,46.0930336215,124.558693486,420.597769059,389.066629908,14.1616749024,17.3694642492
 07/14  24:00:00,803.654886311,94.7147699866,421.355698121,0.0,46.0930336215,113.312780494,408.226941755,393.867475456,5.66466996096,8.69479633791
 07/15  01:00:00,803.658227423,94.7147699866,421.325196103,0.0,46.0930336215,113.312780494,412.687662301,398.328180767,5.66466996096,8.69481157361
 07/15  02:00:00,802.698102065,94.7147699866,420.265661307,0.0,46.0930336215,113.312780494,424.440112447,401.405734203,5.66466996096,17.3697082832
 07/15  03:00:00,795.201434516,94.7147699866,412.784884775,0.0,46.0930336215,113.312780494,412.63838791,398.278811758,5.66466996096,8.69490619165
 07/15  04:00:00,797.945614599,94.7147699866,406.150028937,0.0,55.6251445156,113.312780494,406.569635396,384.526562474,5.66466996096,16.3784029608
 07/15  05:00:00,793.25423104,94.7147699866,405.440783973,0.0,55.6251445156,113.312780494,407.884350324,384.043853989,14.1616749024,9.67882143289
 07/15  06:00:00,850.209530693,94.7147699866,401.360476354,0.0,65.1572554096,176.889270242,354.803562578,317.787478527,28.3233498048,8.69273424652
 07/15  07:00:00,973.246649262,95.2443006987,401.598495605,0.0,109.682768182,220.96816451,490.40509302,430.552232899,42.4850247072,17.3678354137
 07/15  08:00:00,976.653714561,95.4090849388,396.331474639,0.0,109.682768182,220.96816451,444.385966678,379.008247014,56.6466996096,8.7310200539
 07/15  09:00:00,1070.11844511,97.8243503055,381.45204684,0.0,131.945524568,266.955817592,397.386077823,328.653212573,42.4850247072,26.2478405432
 07/15  10:00:00,1074.54555634,98.0707628246,378.43102595,0.0,131.945524568,274.45309292,381.184559144,292.805416671,70.808374512,17.5707679611
 07/15  11:00:00,1077.98516409,98.1520633549,379.461589121,0.0,131.945524568,274.45309292,370.403833449,273.246794826,70.808374512,26.3486641115
 07/15  12:00:00,1043.87555205,98.2269346089,379.007381674,0.0,131.945524568,274.45309292,376.218970334,279.068268144,70.808374512,26.3423276777
 07/15  13:00:00,1035.77992518,98.4316282983,378.858803737,0.0,131.945524568,266.955817592,369.21136562,290.798129625,56.6466996096,21.7665363849
