Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/29  03:00:00,108.726719071,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 05/29  04:00:00,115.900725632,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91548467824,0.0,1.75125,1.16423467824
 05/29  05:00:00,111.781436538,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 05/29  06:00:00,134.257722573,20.0892486702,0.0,0.0,6.98738001645,14.1499734587,98.7478957809,95.2253957809,3.5025,0.02
 05/29  07:00:00,151.759593161,20.0892486702,0.0,0.0,6.98738001645,14.1499734587,112.787120376,109.264620376,3.5025,0.02
 05/29  08:00:00,183.53008023,20.0892486702,0.00285767608787,0.0,6.98738001645,14.1499734587,105.428228644,100.761334644,3.5025,1.16439400015
 05/29  09:00:00,160.133722192,20.0892486702,0.0,0.0,6.98738001645,14.1499734587,102.734341526,99.2118415257,3.5025,0.02
 05/29  10:00:00,194.180768546,20.0892486702,0.00247893554448,0.0,27.9495200658,27.7759469175,90.8440221759,82.6743816666,7.005,1.16464050925
 05/29  11:00:00,221.468291811,20.0892486702,0.0,0.0,27.9495200658,27.7759469175,84.497835265,76.3282103728,7.005,1.16462489218
 05/29  12:00:00,236.036829542,20.0892486702,0.00740467974023,0.0,41.9242800987,36.8599292233,65.9835340007,56.6235340007,9.34,0.02
 05/29  13:00:00,236.306835668,20.0892486702,0.00261219026907,0.0,41.9242800987,36.8599292233,55.1478165949,44.6430606606,9.34,1.1647559343
 05/29  14:00:00,233.00342231,20.0892486702,0.0259363942108,0.0,41.9242800987,36.8599292233,42.8116036017,32.3071560147,9.34,1.16444758699
 05/29  15:00:00,230.472088532,20.0892486702,0.160619187053,0.0,41.9242800987,36.8599292233,34.3621485776,25.0021485776,9.34,0.02
 05/29  16:00:00,229.585483689,20.0892486702,0.0,0.0,41.9242800987,36.8599292233,37.2814757368,26.7767790118,9.34,1.16469672507
 05/29  17:00:00,199.167087428,20.0892486702,0.0,0.0,27.9495200658,27.7759469175,54.0876513389,45.9179427312,7.005,1.16470860771
 05/29  18:00:00,200.569623683,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,70.2062873031,65.5162873031,4.67,0.02
 05/29  19:00:00,187.119085166,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,82.1793421448,76.3447027141,4.67,1.16463943074
 05/29  20:00:00,184.472226215,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,89.0762888529,84.3862888529,4.67,0.02
 05/29  21:00:00,164.39973498,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,51.9938140317,46.1594044553,4.67,1.16440957646
 05/29  22:00:00,113.601699534,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 05/29  23:00:00,144.819946411,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91551950071,0.0,1.75125,1.16426950071
 05/29  24:00:00,118.666684484,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 05/30  01:00:00,110.91423339,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 05/30  02:00:00,109.21316994,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 05/30  03:00:00,107.90054298,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49921882306,0.0,2.335,1.16421882306
 05/30  04:00:00,131.858788241,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 05/30  05:00:00,127.754425507,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 05/30  06:00:00,162.406409795,20.0892486702,0.00106613636152,0.0,13.9747600329,18.6919646116,101.176626828,95.3424291302,4.67,1.16419769829
 05/30  07:00:00,171.964805447,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,111.983957147,107.293957147,4.67,0.02
 05/30  08:00:00,237.198155129,20.0892486702,0.00246006332694,0.0,34.9369000822,32.3179380704,96.7406007438,87.403611247,8.1725,1.16448949682
 05/30  09:00:00,265.951538944,20.0892486702,0.00848959599425,0.0,62.886420148,41.4019203762,74.585426788,64.057926788,10.5075,0.02
 05/30  10:00:00,259.310334552,20.0892486702,0.00545828523368,0.0,62.886420148,41.4019203762,61.0820011658,49.4097215416,10.5075,1.16477962416
