Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 02/24  14:00:00,266.241219752,36.0940024566,119.496998362,0.0,32.1804615127,55.9779621605,223.428458982,2.95463382887,75.1392,145.334625153
 02/24  15:00:00,266.008907638,36.1245658322,119.298453054,0.0,32.1804615127,55.9779621605,213.070172668,4.28300599432,66.8089,141.978266674
 02/24  16:00:00,266.932411841,36.1525592882,120.34115099,0.0,32.1804615127,55.9779621605,227.493538229,6.58254482114,75.1392,145.771793408
 02/24  17:00:00,296.329970404,35.909643089,120.777376728,0.0,32.1804615127,60.9114621605,207.962755784,7.67425415697,91.7998,108.488701627
 02/24  18:00:00,324.750213959,35.4095933179,109.391560554,0.0,32.1804615127,77.5397301883,237.488986941,18.3061917943,49.9818,169.200995147
 02/24  19:00:00,394.137922893,35.4470718624,113.819784966,0.0,77.122965704,86.2600435998,371.849100249,27.8705369919,49.9818,293.996763257
 02/24  20:00:00,395.028504062,35.4023209228,107.708333861,0.0,102.647051061,80.1663183927,284.008079598,33.7060715302,33.3212,216.980808068
 02/24  21:00:00,428.860014245,35.3925691614,116.271727126,0.0,115.40909374,92.7192997104,291.293079428,34.9545640569,33.3212,223.017315371
 02/24  22:00:00,408.516282346,35.4607047499,119.442632158,0.0,102.647051061,94.1340635361,379.957699233,34.1698913058,24.9909,320.796907928
 02/24  23:00:00,334.644428171,35.5309195595,111.811967988,0.0,77.122965704,65.871452062,293.72370375,36.5432105932,16.6606,240.519893157
 02/24  24:00:00,240.694010607,35.4813878612,86.0738902983,0.0,38.286128036,48.4199368926,183.650000534,40.3738695648,8.3303,134.945830969
 02/25  01:00:00,190.875272548,30.6428831815,76.3166877809,0.0,27.7269238854,30.610668775,145.804874164,34.2006255435,3.33212,108.272128621
 02/25  02:00:00,184.580850999,30.6428831815,70.0451607,0.0,27.7269238854,30.610668775,112.825638491,28.9815626809,3.33212,80.5119558096
 02/25  03:00:00,163.155138861,32.200098333,64.5758252191,0.0,12.7620426787,28.1191506574,108.695974769,24.8405158726,3.33212,80.5233388966
 02/25  04:00:00,159.518627998,31.4214907572,61.7410487165,0.0,12.7620426787,28.1191506574,105.416817536,21.562620752,3.33212,80.5220767838
 02/25  05:00:00,167.957458253,32.9787059088,62.0623264823,0.0,12.7620426787,28.1191506574,130.570457886,18.9628615455,3.33212,108.27547634
 02/25  06:00:00,180.904681108,32.200098333,63.5431105392,0.0,12.7620426787,28.1191506574,162.872709768,16.8954721262,8.3303,137.646937641
 02/25  07:00:00,269.100793722,33.7573134846,77.8552027178,0.0,42.6918050922,54.3732441037,220.079492413,15.2476236824,16.6606,188.17126873
 02/25  08:00:00,348.189420432,35.528586673,119.391338091,0.0,42.6918050922,86.1019271793,363.551935563,18.3121448717,24.9909,320.248890692
 02/25  09:00:00,385.748428176,35.3665159624,115.627113904,0.0,57.6566862989,112.030105488,504.222954667,14.3631562802,33.3212,456.538598387
 02/25  10:00:00,341.379037806,35.8847137017,117.335884153,0.0,57.6566862989,83.6599452969,405.382903224,7.69448371389,66.8089,330.87951951
