Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/16  17:00:00,251.094661397,32.3212718432,64.5540109135,0.0,37.1018798503,116.476155989,77.4078770087,58.8886741265,9.90576805939,8.61343482287
 08/16  18:00:00,150.597811881,27.478543379,50.1656015227,0.0,24.7345865669,47.5788473902,60.764367933,55.7914839033,4.9528840297,0.02
 08/16  19:00:00,154.56181384,27.3991254923,47.1615296526,0.0,24.7345865669,47.5788473902,67.0340286023,62.0611445726,4.9528840297,0.02
 08/16  20:00:00,140.164439578,27.6958633768,46.6768560728,0.0,12.3672932834,38.6892022431,79.9512143804,76.9594839626,2.97173041782,0.02
 08/16  21:00:00,100.150013992,16.7757558465,29.4610642093,0.0,12.3672932834,27.0668015668,55.3937795848,52.4020491669,2.97173041782,0.02
 08/16  22:00:00,90.7388716993,20.9780960545,35.0642053591,0.0,4.12243109448,15.9888894789,74.1469376235,71.1552072057,2.97173041782,0.02
 08/16  23:00:00,75.981916487,14.9558882249,26.478650326,0.0,4.12243109448,15.9888894789,57.8671363015,54.8754058837,2.97173041782,0.02
 08/16  24:00:00,90.8911551952,20.898706604,35.2958782686,0.0,4.12243109448,15.9888894789,86.5579161651,83.5661857473,2.97173041782,0.02
 08/17  01:00:00,68.9553217196,13.7650464675,20.6428972647,0.0,4.12243109448,15.9888894789,60.9624247954,57.9706943776,2.97173041782,0.02
 08/17  02:00:00,86.9259452845,20.1842015495,32.0451733543,0.0,4.12243109448,15.9888894789,88.1008941744,85.1091637566,2.97173041782,0.02
 08/17  03:00:00,68.7513774731,12.838310164,21.408315655,0.0,4.12243109448,15.9888894789,49.6873498833,46.6956194655,2.97173041782,0.02
 08/17  04:00:00,120.050794401,26.8812197082,41.1264643096,0.0,12.3672932834,24.9413748627,97.503466749,92.5305827193,4.9528840297,0.02
 08/17  05:00:00,131.40859403,28.094273325,48.1457721008,3.12543818559,12.3672932834,24.9413748627,164.424038354,159.451154324,4.9528840297,0.02
 08/17  06:00:00,183.499998847,28.587863318,53.0608558772,1.05935485812,24.7345865669,70.7195625826,126.32657314,116.400805081,9.90576805939,0.02
 08/17  07:00:00,216.321139634,29.1554625809,56.7171300525,0.312737777629,37.1018798503,92.3937384068,96.8308262201,86.9050581607,9.90576805939,0.02
 08/17  08:00:00,230.354342243,29.5420762934,58.4265468534,0.20675712844,37.1018798503,104.434947198,93.4665051476,74.9423031075,9.90576805939,8.61843398074
